38 Provinsi,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,,,,,,,,,,,,,,,,	
,Perkotaan+Perdesaan,,,,,,,,,,,,,,,,,,,,,,,	
,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,	
Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,	
ACEH,0.333,0.341,-,0.329,0.329,-,0.325,0.318,-,0.319,0.321,-,0.323,0.319,-,0.324,0.323,-,0.311,0.291,-,0.296,-,-	
SUMATERA UTARA,0.319,0.312,-,0.315,0.335,-,0.318,0.311,-,0.317,0.315,-,0.316,0.314,-,0.314,0.313,-,0.312,0.326,-,0.309,-,-	
SUMATERA BARAT,0.331,0.312,-,0.318,0.312,-,0.321,0.305,-,0.306,0.307,-,0.305,0.301,-,0.306,0.3,-,0.3,0.292,-,0.28,-,-	
RIAU,0.347,0.347,-,0.325,0.325,-,0.327,0.347,-,0.334,0.331,-,0.329,0.321,-,0.326,0.327,-,0.326,0.323,-,0.324,-,-	
JAMBI,0.349,0.346,-,0.335,0.334,-,0.334,0.335,-,0.321,0.324,-,0.32,0.316,-,0.321,0.315,-,0.32,0.335,-,0.343,-,-	
SUMATERA SELATAN,0.348,0.362,-,0.361,0.365,-,0.358,0.341,-,0.331,0.339,-,0.339,0.338,-,0.341,0.34,-,0.339,0.33,-,0.338,-,-	
BENGKULU,0.357,0.354,-,0.351,0.349,-,0.362,0.355,-,0.34,0.329,-,0.334,0.323,-,0.326,0.321,-,0.315,0.315,-,0.333,-,-	
LAMPUNG,0.364,0.358,-,0.334,0.333,-,0.346,0.326,-,0.329,0.331,-,0.327,0.32,-,0.323,0.314,-,0.314,0.313,-,0.324,-,-	
KEP. BANGKA BELITUNG,0.275,0.288,-,0.282,0.276,-,0.281,0.272,-,0.269,0.262,-,0.262,0.257,-,0.256,0.247,-,0.236,0.255,-,0.245,-,-	
KEP. RIAU,0.354,0.352,-,0.334,0.359,-,0.33,0.339,-,0.341,0.337,-,0.339,0.334,-,0.343,0.339,-,0.342,0.325,-,0.34,-,-	
DKI JAKARTA,0.411,0.397,-,0.413,0.409,-,0.394,0.39,-,0.394,0.391,-,0.399,0.4,-,0.409,0.411,-,0.423,0.412,-,0.431,-,-	
JAWA BARAT,0.413,0.402,-,0.403,0.393,-,0.407,0.405,-,0.402,0.398,-,0.403,0.398,-,0.412,0.406,-,0.417,0.412,-,0.425,-,-	
JAWA TENGAH,0.366,0.357,-,0.365,0.365,-,0.378,0.357,-,0.361,0.358,-,0.362,0.359,-,0.372,0.368,-,0.374,0.366,-,0.369,-,-	
DI YOGYAKARTA,0.42,0.425,-,0.432,0.44,-,0.441,0.422,-,0.423,0.428,-,0.434,0.437,-,0.441,0.436,-,0.439,0.459,-,0.449,-,-	
JAWA TIMUR,0.402,0.402,-,0.396,0.415,-,0.379,0.371,-,0.37,0.364,-,0.366,0.364,-,0.374,0.364,-,0.371,0.365,-,0.387,-,-	
BANTEN,0.394,0.392,-,0.382,0.379,-,0.385,0.367,-,0.365,0.361,-,0.363,0.365,-,0.365,0.363,-,0.363,0.377,-,0.368,-,-	
BALI,0.366,0.374,-,0.384,0.379,-,0.377,0.364,-,0.366,0.37,-,0.369,0.369,-,0.378,0.375,-,0.363,0.362,-,0.362,-,-	
NUSA TENGGARA BARAT,0.359,0.365,-,0.371,0.378,-,0.372,0.391,-,0.379,0.374,-,0.376,0.386,-,0.381,0.384,-,0.373,0.374,-,0.375,-,-	
NUSA TENGGARA TIMUR,0.336,0.362,-,0.359,0.359,-,0.351,0.359,-,0.356,0.355,-,0.354,0.356,-,0.346,0.339,-,0.334,0.34,-,0.325,-,-	
KALIMANTAN BARAT,0.341,0.331,-,0.327,0.329,-,0.339,0.325,-,0.327,0.318,-,0.317,0.325,-,0.313,0.315,-,0.314,0.311,-,0.321,-,-	
KALIMANTAN TENGAH,0.33,0.347,-,0.343,0.327,-,0.342,0.344,-,0.336,0.335,-,0.329,0.32,-,0.323,0.32,-,0.319,0.309,-,0.317,-,-	
KALIMANTAN SELATAN,0.332,0.351,-,0.347,0.347,-,0.344,0.34,-,0.334,0.334,-,0.332,0.351,-,0.33,0.325,-,0.317,0.309,-,0.313,-,-	
KALIMANTAN TIMUR,0.315,0.328,-,0.33,0.333,-,0.342,0.342,-,0.33,0.335,-,0.328,0.335,-,0.334,0.331,-,0.327,0.317,-,0.322,-,-	
KALIMANTAN UTARA,0.3,0.305,-,0.308,0.313,-,0.303,0.304,-,0.295,0.292,-,0.292,0.3,-,0.292,0.285,-,0.272,0.27,-,0.277,-,-	
SULAWESI UTARA,0.386,0.379,-,0.396,0.394,-,0.394,0.372,-,0.367,0.376,-,0.37,0.368,-,0.365,0.359,-,0.365,0.359,-,0.37,-,-	
SULAWESI TENGAH,0.362,0.347,-,0.355,0.345,-,0.346,0.317,-,0.327,0.33,-,0.326,0.321,-,0.316,0.326,-,0.308,0.305,-,0.304,-,-	
SULAWESI SELATAN,0.426,0.4,-,0.407,0.429,-,0.397,0.388,-,0.389,0.391,-,0.389,0.382,-,0.382,0.377,-,0.377,0.365,-,0.377,-,-	
SULAWESI TENGGARA,0.402,0.388,-,0.394,0.404,-,0.409,0.392,-,0.399,0.393,-,0.389,0.388,-,0.39,0.394,-,0.387,0.366,-,0.371,-,-	
GORONTALO,0.419,0.41,-,0.43,0.405,-,0.403,0.417,-,0.407,0.41,-,0.408,0.406,-,0.408,0.409,-,0.418,0.423,-,0.417,-,-	
SULAWESI BARAT,0.364,0.371,-,0.354,0.339,-,0.37,0.366,-,0.365,0.365,-,0.364,0.356,-,0.356,0.366,-,0.362,0.371,-,0.351,-,-	
MALUKU,0.348,0.344,-,0.343,0.321,-,0.343,0.326,-,0.324,0.32,-,0.318,0.326,-,0.314,0.316,-,0.301,0.306,-,0.288,-,-	
MALUKU UTARA,0.286,0.309,-,0.317,0.33,-,0.328,0.336,-,0.312,0.31,-,0.308,0.29,-,0.3,0.278,-,0.279,0.309,-,0.3,-,-	
PAPUA BARAT,0.373,0.401,-,0.39,0.387,-,0.394,0.391,-,0.386,0.381,-,0.382,0.376,-,0.38,0.374,-,0.37,0.384,-,0.37,-,-	
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA,0.39,0.399,-,0.397,0.398,-,0.384,0.398,-,0.394,0.391,-,0.392,0.395,-,0.397,0.396,-,0.406,0.393,-,0.386,-,-	
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
INDONESIA,0.397,0.394,-,0.393,0.391,-,0.389,0.384,-,0.382,0.38,-,0.381,0.385,-,0.384,0.381,-,0.384,0.381,-,0.388,-,-	
,,,,,,,,,,,,,,,,,,,,,,,,	
"Catatan,""<br /><br /><br />Sumber  : BPS, Susenas  	  	  	  	  	  "",""<br /><br /><br /><br /><ul><li>Tahun 2002, Susenas Modul Konsumsi reguler</li>"",""<li>Tahun 2005, Susenas Panel (Februari)</li>"",""<li>Tahun 2006-2010, Susenas Panel (Maret)</li>"",""<li>Tahun 2011-2016, Susenas Modul Konsumsi (Maret &amp"	 September)</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)<br /></li></ul>",,,,,,,,,,,,,,,,,,,
