Provinsi di Indonesia,,,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa),,
,2021,2022,2023
Aceh,5274.9,5334.9,5409.2
Sumatera Utara,14799.4,14970.5,15180.5
Sumatera Barat,5534.5,5597.3,5677.6
Riau,6394.1,6466.8,6555.8
Kep. Riau,2064.6,2089.9,2121.5
Jambi,3548.2,3586.4,3633.2
Sumatera Selatan,8467.4,8548.6,8647.3
Kep. Bangka Belitung,1455.7,1471.8,1492
Bengkulu,2010.7,2032.4,2059.4
Lampung,9007.8,4438.6,4496.6
DKI Jakarta,10562.1,10605.4,10640
Jawa Barat,48274.2,48738.8,49306.8
Banten,11904.6,12023,12167
Jawa Tengah,36516,36811.1,37180.4
DI Yogyakarta,3668.7,3687.8,3712.6
Jawa Timur,40665.7,40921.1,41230
Kalimantan Barat,5414.4,5474.7,5549.7
Kalimantan Tengah,2670,2700.1,2737.2
Kalimantan Selatan,4073.6,4116.9,4170.2
Kalimantan Timur,3766,3803.5,3856.8
Kalimantan Utara,701.8,710,720.1
Sulawesi Utara,2621.9,2639.5,2660.8
Gorontalo,1171.7,1183.5,1198.4
Sulawesi Tengah,2985.7,3015,3051.2
Sulawesi Selatan,9073.5,9156.9,9260.1
Sulawesi Barat,1419.2,1436.7,1458.9
Sulawesi Tenggara,2624.9,2659.9,2704.6
Bali,4317.4,4343.4,4374.3
Nusa Tenggara Barat,5320.1,5387.2,5474
Nusa Tenggara Timur,5325.6,5394.4,5481.8
Maluku,1848.9,1869.5,1895.1
Maluku Utara,1282.9,1299.6,1318.5
Papua Barat,1134.1,1149.4,1168.4
Papua,4303.7,4356.8,4429.7
Indonesia,270203.9,272679.2,275719.9